customer_city,order_count,revenue
camacari,60,8722.58
aruja,68,8699.66
nova serrana,49,8693.69
juazeiro,42,8662.05
campo mourao,56,8579.69
tres lagoas,42,8547.88
colatina,63,8456.83
trindade,28,8413.61
francisco beltrao,50,8378.13
fernandopolis,52,8366.45
matao,51,8360.85
ibirite,47,8317.09
paranavai,45,8254.93
joao monlevade,50,8232.52
cubatao,79,8171.42
ouro preto,55,8149.91
bento goncalves,53,8146.78
juazeiro do norte,31,8138.34
apucarana,51,8112.8
unai,54,8064.51
patrocinio,45,8023.55
tres rios,38,8014.46
para de minas,37,7994.59
viamao,70,7987.71
itapira,52,7984.62
boituva,47,7974.5
pirapora,42,7842.16
paulo afonso,39,7842.14
sertaozinho,61,7829.73
ponte nova,39,7823.69
itaborai,56,7783.17
uba,53,7733.99
eunapolis,36,7715.63
varzea grande,38,7710.3099999999995
peruibe,43,7697.97
sinop,43,7696.82
jacobina,23,7693.92
sao mateus,47,7691.8
erechim,56,7689.0599999999995
itapeva,57,7686.31
cosmopolis,50,7645.2699999999995
paulista,42,7602.08
lencois paulista,43,7565.48
paracambi,35,7516.2300000000005
navegantes,31,7500.85
tupa,52,7490.94
cruzeiro,56,7458.77
alagoinhas,40,7428.33
itapema,44,7233.42
osorio,35,7225.75
itaguai,46,7202.32
sao miguel do oeste,39,7165.31
arapongas,32,7152.49
santarem,43,7125.5199999999995
primavera do leste,28,7092.91
caucaia,35,7092.72
andradina,40,7089.02
embu-guacu,46,7062.82
queimados,53,7048.55
esteio,39,6986.45
guaxupe,37,6967.0
vespasiano,41,6904.07
ijui,52,6870.15
registro,45,6809.21
jaboticabal,50,6776.97
mococa,33,6758.87
concordia,47,6730.96
artur nogueira,40,6723.88
itaperuna,46,6658.02
balsas,17,6607.7300000000005
umuarama,40,6603.01
ituiutaba,53,6593.01
alfenas,43,6539.45
itumbiara,35,6489.07
lucas do rio verde,23,6463.96
santo angelo,45,6448.63
valparaiso de goias,37,6424.51
curvelo,42,6406.88
altamira,25,6399.82
sapucaia do sul,39,6392.7
mirassol,29,6383.33
olimpia,36,6365.150000000001
arraial do cabo,28,6329.66
catalao,33,6317.65
araucaria,54,6255.87
mossoro,35,6244.01
caldas novas,36,6204.57
extrema,42,6195.3099999999995
gurupi,24,6192.18
bebedouro,51,6141.75
guaiba,31,6139.13
batatais,27,6130.55
formosa,34,6124.12
adamantina,35,6108.5
sao bento do sul,44,6105.45
itupeva,42,6039.66
uniao da vitoria,29,6037.75
mongagua,41,6027.55
barra do pirai,49,6015.99
arcos,25,5989.36
sao jose do rio pardo,44,5971.05
maracanau,31,5915.2300000000005
pedro leopoldo,40,5875.05
campo novo do parecis,15,5838.68
mandaguari,18,5829.06
itabirito,28,5798.05
jequie,34,5766.87
santo antonio de padua,30,5765.6
tucurui,16,5756.65
sao pedro da aldeia,46,5712.97
rolandia,24,5701.33
rio do sul,35,5695.14
cianorte,39,5691.55
salinas,22,5691.16
japeri,34,5682.83
caceres,25,5668.5599999999995
montenegro,32,5643.51
capao da canoa,38,5634.34
parauapebas,27,5634.15
corumba,27,5627.08
louveira,44,5615.7300000000005
saquarema,45,5614.72
luziania,33,5608.51
santo antonio da patrulha,17,5603.12
campo limpo paulista,47,5581.77
armacao dos buzios,28,5579.36
bom despacho,38,5554.6
penapolis,37,5549.28
sao sebastiao do paraiso,35,5509.71
tres coracoes,41,5476.22
cacador,40,5469.62
tremembe,38,5462.7
uruguaiana,47,5460.4
telemaco borba,34,5458.21
juina,17,5417.13
guaira,43,5402.83
santo antonio de posse,20,5393.22
vargem grande paulista,43,5368.150000000001
guanambi,36,5367.47
sabara,42,5334.36
vassouras,36,5309.87
alegrete,35,5296.24
santa barbara,25,5295.31
canoinhas,27,5291.02
ouro branco,41,5283.79
cachoeira do sul,30,5281.79
seropedica,33,5256.35
capivari,32,5252.8099999999995
taquaritinga,33,5237.07
joacaba,26,5233.09
garanhuns,30,5225.65
simoes filho,21,5223.07
mariana,33,5218.88
fazenda rio grande,29,5204.96
passos,43,5196.44
dracena,27,5186.38
cataguases,32,5139.96
campo bom,35,5137.09
aracruz,40,5102.98
parnaiba,22,5085.78
nova odessa,37,5060.27
santo antonio de jesus,29,5060.15
piraju,17,5054.76
almirante tamandare,35,5041.83
monte mor,38,5039.0
formiga,32,5033.34
ariquemes,13,4969.64
sao lourenco,32,4958.96
taquara,21,4954.91
rio bonito,27,4946.29
barra do garcas,25,4924.29
bom jesus do galho,4,4923.81
coronel fabriciano,40,4914.66
santana do livramento,20,4911.3
xanxere,29,4906.49
carangola,25,4843.37
sao joaquim da barra,33,4808.58
patos,16,4795.28
tiete,35,4792.73
taio,14,4792.66
boa esperanca,20,4789.23
viana,26,4782.41
tangara da serra,23,4765.88
promissao,31,4742.35
santa rita do sapucai,35,4687.13
abaetetuba,11,4672.27
campo largo,36,4665.79
maraba,22,4661.78
carmo do paranaiba,16,4652.95
ponta pora,18,4652.16
russas,9,4622.34
santa fe do sul,34,4605.21
andradas,12,4595.97
cambe,27,4559.06
orlandia,28,4552.4
santa vitoria,17,4546.18
itarare,28,4520.99
castanhal,21,4500.22
pacatuba,5,4469.860000000001
timbo,20,4468.12
pereira barreto,18,4460.09
piumhii,28,4454.11
barra bonita,28,4440.92
ji-parana,17,4435.13
miguel pereira,28,4409.54
monte alegre do sul,6,4360.38
iguatu,15,4355.54
castro,22,4347.65
ituverava,28,4325.59
guacui,16,4311.75
picos,17,4255.89
mineiros,25,4233.22
alvares machado,8,4227.42
aparecida,25,4208.91
marechal candido rondon,30,4144.69
tijucas,30,4144.17
teixeira de freitas,28,4143.1
alta floresta,12,4133.89
cicero dantas,9,4097.2
martinopolis,8,4084.1099999999997
catole do rocha,6,4066.6900000000005
panambi,17,4059.15
cerqueira cesar,18,4059.12
campo formoso,10,4054.34
indaial,26,4052.06
januaria,22,4050.95
itapolis,28,4026.78
sapiranga,23,4014.95
bom jesus do itabapoana,20,4011.27
ibiuna,31,4009.93
sorriso,20,4009.0299999999997
sao luiz gonzaga,15,4008.72
ilhabela,44,3989.88
guapore,18,3987.06
casimiro de abreu,20,3963.31
posse,15,3940.71
pires do rio,12,3930.0299999999997
frutal,24,3923.15
ipanema,7,3916.27
campos do jordao,25,3913.12
sao pedro,12,3903.33
bacabal,11,3883.5
cerquilho,30,3861.71
dois irmaos,17,3847.42
crato,18,3847.13
itabaiana,15,3840.41
cachoeira paulista,25,3768.0099999999998
aguas de lindoia,22,3758.36
farroupilha,27,3757.49
espera feliz,19,3751.42
gramado,29,3750.71
biguacu,22,3738.8900000000003
camboriu,27,3711.42
ibiruba,20,3695.73
cambui,22,3660.81
janauba,16,3646.22
capao bonito,28,3622.16
congonhas,30,3618.83
ipira,8,3618.72
cabo de santo agostinho,21,3618.25
valente,9,3614.1000000000004
nova xavantina,10,3602.16
santa rosa,32,3601.11
imbituba,31,3593.92
ituporanga,15,3580.25
estancia velha,20,3563.85
escada,10,3556.7
alem paraiba,28,3548.32
matinhos,27,3538.83
juquitiba,21,3529.98
serra negra,13,3522.56
natividade,16,3517.22
maracaju,13,3511.21
cruzeiro do sul,6,3510.3399999999997
rondon do para,9,3484.38
jales,28,3478.63
cruz alta,30,3471.23
curitibanos,20,3469.8
garca,27,3468.68
camaragibe,33,3455.49
macatuba,12,3452.45
paraiba do sul,18,3452.08
pederneiras,21,3450.01
guapimirim,21,3446.99
itapaje,6,3425.08
braco do norte,20,3423.42
quata,12,3417.29
aracati,21,3413.0
medianeira,21,3411.7200000000003
presidente venceslau,22,3410.87
claudio,20,3403.8
monte carmelo,23,3403.67
sao manuel,20,3403.6
pedreira,36,3391.29
trindade do sul,4,3372.73
ibitinga,22,3368.45
porto feliz,21,3365.57
agua boa,18,3358.86
lagoa grande,8,3352.96
venancio aires,26,3352.84
quixada,13,3350.46
alto do rodrigues,8,3346.7000000000003
bonito,17,3342.66
brumado,21,3330.52
porto uniao,14,3329.43
mandaguacu,4,3325.86
barrinha,18,3321.15
tramandai,25,3289.92
garopaba,22,3288.64
monte azul paulista,19,3287.1
marataizes,16,3274.31
alegre,17,3265.0099999999998
paraty,19,3249.86
santo amaro da imperatriz,11,3245.7
mairinque,24,3235.0
ibotirama,7,3233.2
caico,10,3215.31
almenara,14,3212.33
vera cruz,21,3212.0099999999998
jacutinga,19,3201.74
encantado,11,3196.4500000000003
machado,21,3182.8
santa isabel,28,3181.2400000000002
pau dos ferros,9,3176.81
venda nova do imigrante,15,3171.23
itapetinga,18,3169.5
estancia,9,3157.95
bom jesus da lapa,9,3153.69
floriano,18,3145.5099999999998
caete,27,3144.06
santa cruz do rio pardo,34,3126.23
cunha,14,3118.0
redencao,16,3116.14
marialva,16,3115.02
imbe,13,3105.67
taiobeiras,13,3103.7999999999997
oliveira,22,3102.9700000000003
holambra,23,3102.05
cordeiro,24,3098.43
parati,13,3088.59
sao joao nepomuceno,14,3088.1400000000003
bom jesus,13,3082.27
ipero,18,3079.8
sao gotardo,20,3078.92
novo horizonte,17,3078.81
santana do paraiso,16,3077.73
bariri,15,3075.22
pirapora do bom jesus,16,3067.54
paraguacu paulista,20,3067.31
pitangui,22,3064.2
senhor do bonfim,18,3047.41
dias d'avila,23,3044.98
salgueiro,17,3044.75
castilho,10,3043.6
carlos barbosa,19,3015.42
